Store Name,Address,lat,lon
アミューズメントパレスワンダーヴュー阿見,茨城県稲敷郡阿見町大字阿見２９５８ショッピングセンター２階,36.0423541,140.2097189
ピンクパンサー下妻店,茨城県下妻市小島884-10,36.1707093,139.9665543
モーリーファンタジー下妻,茨城県下妻市掘篭９７２−１イオン下妻店2F,36.1895448,139.990167
ゲームパニックつくば,茨城県土浦市中村東1-1-1サンタスワールド内,36.0464898,140.1682049
楽市楽座イオンモール土浦店,茨城県土浦市上高津３６７イオンモール土浦ＳＣ３階,36.0798264,140.1787223
ピンクパンサー土浦店,茨城県土浦市木田余４５８５−３,36.1065627,140.2153092
ＦＥＳＴＡ古河店,茨城県古河市松並２−１８−１０マーケットシティ古河,36.2094072,139.7085675
ＧＡＭＥ ＰＡＤＤＯＣＫ＋１,茨城県古河市小堤１９１６−１,36.2067364,139.7578652
ＧｉＧＯショッピングセンターチェリオ鹿嶋,茨城県鹿嶋市宮中２９０−１ショッピングセンターチェリオ１階,35.9598927,140.6439669
ＳＯＹＵ　ＴＯＹ’Ｓ　ＮＹ　守谷店,茨城県守谷市百合ヶ丘3-249-1　イオンタウン守谷2Ｆ,35.9448157,139.990594
ＧｉＧＯ神栖,茨城県神栖市神栖１ー８−１,35.8978714,140.6444242
ＧｉＧＯ龍ヶ崎,茨城県龍ケ崎市藤ケ丘４−２−８,35.9385356,140.1958491
アピナ下館店,茨城県筑西市玉戸１０１２−３,36.2953563,139.9457336
ｎａｍｃｏフェドラＰ＆Ｄ佐野店,栃木県佐野市高萩町１３４０,36.2972787,139.6056493
シーサイドリゾートアミューズメントパーク,栃木県宇都宮市睦町７−３,36.5632863,139.8604514
ＧｉＧＯ宇都宮,栃木県宇都宮市東宿郷５−１−７,36.558217,139.9088903
ｎａｍｃｏ宇都宮店,栃木県宇都宮市簗瀬町１６０６−１　Ｐ＆Ｄビル,36.5438902,139.8914522
スタジオプリモ宇都宮店,栃木県宇都宮市曲師町2-8宇都宮フェスタ1F,36.5602938,139.8847019
タイトーステーション 宇都宮ベルモール店,栃木県宇都宮市陽東６−２−１ベルモール内２Ｆ,36.5560767,139.9290374
ラウンドワン宇都宮店,栃木県宇都宮市江曽島町２０７２−１,36.5406212,139.8867794
テクモピアパルテロン宇都宮店,栃木県宇都宮市今泉町２３７福田屋ＳＰ宇都宮２Ｆ,36.573628,139.900319
INTER PARK+1宇都宮,栃木県宇都宮市インターパーク６−５−１,36.488099,139.9056093
TFSトナリエ宇都宮,栃木県宇都宮市駅前通り１丁目４番６号トナリエ宇都宮,36.5602135,139.896968
ファンタジーランドガルー宇都宮店,栃木県宇都宮市江曽島本町22-7アピタ宇都宮店2Ｆ,36.5315585,139.8670476
タイトーＦステーション小山店,栃木県小山市喜沢1475ハーヴェストウォーク内スポーツシネマ棟,36.3360218,139.8070202
ＧｉＧＯ小山,栃木県小山市東城南１−１−１８,36.2986535,139.8101303
アピナ小山店,栃木県小山市駅南町４−２７−１８,36.3003737,139.8092421
ＫＯＫＡＤＯタウン小山店,栃木県小山市中久喜１４６７ー１イオンモール小山店２階,36.3220687,139.8409704
ＧＡＭＥ　ＧＥＴーＢｅｅ　ＶＡＬ小山店,栃木県小山市城山町３丁目３番地２２号,36.3159754,139.8067535
ＧｉＧＯ日光,栃木県日光市芹沼１４４８−１,36.7411149,139.7103149
ドラマ足利,栃木県足利市朝倉町２４４‐１,36.3221045,139.4504818
大田原スポーツランド,栃木県那須塩原市一区町１０４−６０,36.852073,139.9934213
ＧｉＧＯ西那須野,栃木県那須塩原市南郷屋２−１０６−２７,36.8953722,139.9827624
アピナ宇都宮店,栃木県河内郡上三川町磯岡４２１ー１ジョイフル本田宇都宮店２階,36.4822094,139.9063443
タイト—Ｆステーション高崎オ—パ店,群馬県高崎市八島町４６−１　高崎オ—パ７階,36.3231608,139.011267
群馬レジャーランド高崎駅東口店,群馬県高崎市江木町３３３−１高崎ＥＸビル,36.3297633,139.013423
ユーズランド高崎店,群馬県高崎市棟高町１４００番地イオンモール高崎２Ｆ,36.3906591,139.0068085
インターワールド伊勢崎店,群馬県伊勢崎市宮子町３４２５−４,36.3315187,139.1625184
群馬レジャーランド伊勢崎店,群馬県伊勢崎市連取町3066-1,36.31822,139.1724135
ＧｉＧＯスマーク伊勢崎,群馬県伊勢崎市西小保方町３６８スマーク伊勢崎３Ｆ　３０２区画,36.3392953,139.2324035
群馬レジャーランド藤岡店,群馬県藤岡市中2002-1,36.2744369,139.0717674
群馬レジャーランド太田店,群馬県太田市西矢島町162-2,36.2680436,139.375866
ＧｉＧＯ太田,群馬県太田市西矢島町５７５−１,36.274556,139.3781043
アピナ太田店,群馬県太田市内ケ島町９０７−１,36.2829407,139.3984028
ユーズランド太田店,群馬県太田市石原町８１番地イオンモール太田２Ｆ,36.29411,139.4005458
ＧｉＧＯ館林,群馬県館林市小桑原町９４９−１,36.2351772,139.5202506
ラウンドワン前橋店,群馬県前橋市天川大島町１１０１−１,36.3687431,139.105323
群馬レジャーランド前橋店,群馬県前橋市日吉町４ー３７ー１,36.4049826,139.0794233
ｎａｍｃｏけやきウォーク前橋店,群馬県前橋市文京町２−１−１けやきウォーク前橋２Ｆ,36.3791667,139.0780556
群馬レジャーランド渋川店,群馬県渋川市八木原1364,36.4695474,139.0135533
ＧｉＧＯ沼田,群馬県沼田市下久屋町１１００−１,36.6568774,139.0776514
宝島大間々店,群馬県みどり市大間々町大間々４０番地さくらもーる２Ｆ,36.4138795,139.2816243
ＧｉＧＯ　ＭＥＧＡドン･キホーテ桐生,群馬県桐生市永楽町５‐１０,36.4124568,139.3359721
ＧｉＧＯ川口,埼玉県川口市東領家２−２−１０,35.7945957,139.7476601
シルクハット川口,埼玉県川口市栄町３−１−１６イート川口ビル４Ｆ,35.8028127,139.7177431
ゲームシティ川口店,埼玉県川口市栄町1-10-5,35.8025164,139.7255272
ＧｉＧＯららテラス川口,埼玉県川口市栄町３丁目５ー１,35.8030115,139.7187434
楽市楽座イオンモール川口前川店,埼玉県川口市前川1-1-11イオンモール川口前川店3F,35.8331868,139.7071534
ソユーゲームフィールド川口店,埼玉県川口市並木元町１−７９　アリオ川口３Ｆ,35.8074427,139.7140024
ＧｉＧＯ所沢,埼玉県所沢市日吉町８−１,35.7884841,139.471914
タイトーステーション 所沢店,埼玉県所沢市日吉町３−７,35.7880391,139.4727591
キャロム所沢店,埼玉県所沢市下安松969-1,35.7909858,139.5042194
ラウンドワン所沢店,埼玉県所沢市東町５丁目２２　６階,35.7887345,139.4703442
ｎａｍｃｏエミテラス所沢店,埼玉県所沢市東住吉１０−１　エミテラス所沢４階,35.7858507,139.4700988
キャロム坂戸店,埼玉県坂戸市関間2-151-1,35.9511985,139.3989584
埼玉レジャーランド春日部店,埼玉県春日部市大字増富字谷際163-1,35.9626813,139.7332697
ユーズランド春日部店,埼玉県春日部市下柳４２０−１イオンモール春日部２Ｆ,35.9880769,139.7886173
アミューズランドモナコ川越店,埼玉県川越市新富町2-4-1,35.9132612,139.4831715
